GEO.display-label; Total; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr
"Troup County, Georgia";70034;33785;36249;16957;8742;8215;42683;20600;22083;10394;4443;5951;1277;387;890
"Turner County, Georgia";7912;3844;4068;1912;951;961;4428;2237;2191;1572;656;916;196;59;137
"Twiggs County, Georgia";8188;4017;4171;1583;785;798;4743;2388;2355;1862;844;1018;133;45;88
"Union County, Georgia";24001;11619;12382;3805;1929;1876;12273;5952;6321;7923;3738;4185;801;311;490
"Upson County, Georgia";26215;12447;13768;5823;2890;2933;15549;7457;8092;4843;2100;2743;520;170;350
"Walker County, Georgia";69410;34154;35256;15094;7816;7278;41440;20719;20721;12876;5619;7257;1472;517;955
"Walton County, Georgia";93503;45507;47996;23085;11820;11265;55930;27217;28713;14488;6470;8018;1453;483;970
"Ware County, Georgia";35680;17853;17827;8564;4410;4154;20949;10903;10046;6167;2540;3627;851;248;603
"Warren County, Georgia";5251;2488;2763;1065;517;548;2995;1463;1532;1191;508;683;154;40;114
"Washington County, Georgia";20386;10399;9987;4398;2273;2125;12448;6669;5779;3540;1457;2083;439;112;327
"Wayne County, Georgia";29808;15284;14524;7274;3744;3530;17812;9374;8438;4722;2166;2556;467;197;270
